Assay_Plate_Barcode,Plate_Map_Name
BR00117006,DOG.30.31.32.33.A
BR00118049,DOG.30.31.32.33.A
BR00118050,DOG.30.31.32.33.A
BR00118039,DOG.30.31.32.33.A
BR00118040,DOG.30.31.32.33.A
BR00117020,DOG.30.31.32.33.A
BR00117021,DOG.30.31.32.33.A
BR00117022,DOG.30.31.32.33.A
BR00117023,DOG.30.31.32.33.A
BR00118041,DXH.92.93.94.95.A
BR00118042,DXH.92.93.94.95.A
BR00118043,DXH.92.93.94.95.A
BR00118044,DXH.92.93.94.95.A
BR00118045,DXH.92.93.94.95.A
BR00118046,DXH.92.93.94.95.A
BR00118047,DXH.92.93.94.95.A
BR00118048,DXH.92.93.94.95.A
BR00117003,DXH.92.93.94.95.A
BR00117004,DXH.92.93.94.95.A
BR00117005,DXH.92.93.94.95.A
BR00117000,DXH.92.93.94.95.A
BR00117002,DXH.92.93.94.95.A
BR00117001,DXH.92.93.94.95.A
BR00116997,DXH.92.93.94.95.A
BR00116998,DXH.92.93.94.95.A
BR00116999,DXH.92.93.94.95.A
BR00116996,DXH.92.93.94.95.A
BR00116991,C-7210-01-CMP-013
BR00116992,C-7210-01-CMP-013
BR00116993,C-7210-01-CMP-013
BR00116994,C-7210-01-CMP-013
BR00116995,C-7210-01-CMP-013
BR00117024,C-7210-01-CMP-013
BR00117025,C-7210-01-CMP-013
BR00117026,C-7210-01-CMP-013
BR00117017,C-7210-01-CMP-013
BR00117019,C-7210-01-CMP-013
BR00117015,C-7210-01-CMP-013
BR00117016,C-7210-01-CMP-013
BR00117012,C-7210-01-CMP-013
BR00117013,C-7210-01-CMP-013
BR00117010,C-7210-01-CMP-013
BR00117011,C-7210-01-CMP-013
BR00117054,C-7210-01-CMP-013
BR00117055,C-7210-01-CMP-013
BR00117008,C-7210-01-CMP-013
BR00117009,C-7210-01-CMP-013
BR00117052,C-7210-01-CMP-013
BR00117053,C-7210-01-CMP-013
BR00117050,C-7210-01-CMP-013
BR00117051,C-7210-01-CMP-013
