plate_map_name	well_position	broad_sample
DOG.30.31.32.33.A	A01	ccsbBroad304_00900
DOG.30.31.32.33.A	A02	ccsbBroad304_07795
DOG.30.31.32.33.A	A03	ccsbBroad304_02826
DOG.30.31.32.33.A	A04	ccsbBroad304_01492
DOG.30.31.32.33.A	A05	ccsbBroad304_00691
DOG.30.31.32.33.A	A06	ccsbBroad304_00902
DOG.30.31.32.33.A	A07	ccsbBroad304_02705
DOG.30.31.32.33.A	A08	ccsbBroad304_01122
DOG.30.31.32.33.A	A09	ccsbBroad304_01122
DOG.30.31.32.33.A	A10	ccsbBroad304_00305
DOG.30.31.32.33.A	A11	ccsbBroad304_00305
DOG.30.31.32.33.A	A12	ccsbBroad304_06365
DOG.30.31.32.33.A	A13	ccsbBroad304_02831
DOG.30.31.32.33.A	A14	ccsbBroad304_02201
DOG.30.31.32.33.A	A15	ccsbBroad304_06071
DOG.30.31.32.33.A	A16	ccsbBroad304_05926
DOG.30.31.32.33.A	A17	ccsbBroad304_06272
DOG.30.31.32.33.A	A18	ccsbBroad304_00202
DOG.30.31.32.33.A	A19	ccsbBroad304_14724
DOG.30.31.32.33.A	A20	ccsbBroad304_06071
DOG.30.31.32.33.A	A21	ccsbBroad304_14684
DOG.30.31.32.33.A	A22	ccsbBroad304_04505
DOG.30.31.32.33.A	A23	ccsbBroad304_01121
DOG.30.31.32.33.A	A24	ccsbBroad304_06088
DOG.30.31.32.33.A	B01	ccsbBroad304_08873
DOG.30.31.32.33.A	B02	ccsbBroad304_05921
DOG.30.31.32.33.A	B03	ccsbBroad304_00304
DOG.30.31.32.33.A	B04	ccsbBroad304_00376
DOG.30.31.32.33.A	B05	ccsbBroad304_00477
DOG.30.31.32.33.A	B06	ccsbBroad304_02129
DOG.30.31.32.33.A	B07	ccsbBroad304_07061
DOG.30.31.32.33.A	B08	ccsbBroad304_00304
DOG.30.31.32.33.A	B09	ccsbBroad304_01768
DOG.30.31.32.33.A	B10	ccsbBroad304_06018
DOG.30.31.32.33.A	B11	ccsbBroad304_00155
DOG.30.31.32.33.A	B12	ccsbBroad304_06464
DOG.30.31.32.33.A	B13	ccsbBroad304_02831
DOG.30.31.32.33.A	B14	ccsbBroad304_02258
DOG.30.31.32.33.A	B15	ccsbBroad304_00681
DOG.30.31.32.33.A	B16	ccsbBroad304_00799
DOG.30.31.32.33.A	B17	ccsbBroad304_11023
DOG.30.31.32.33.A	B18	ccsbBroad304_14688
DOG.30.31.32.33.A	B19	ccsbBroad304_02129
DOG.30.31.32.33.A	B20	ccsbBroad304_00477
DOG.30.31.32.33.A	B21	ccsbBroad304_00277
DOG.30.31.32.33.A	B22	ccsbBroad304_11023
DOG.30.31.32.33.A	B23	ccsbBroad304_05921
DOG.30.31.32.33.A	B24	ccsbBroad304_08873
DOG.30.31.32.33.A	C01	ccsbBroad304_14525
DOG.30.31.32.33.A	C02	ccsbBroad304_06403
DOG.30.31.32.33.A	C03	ccsbBroad304_14696
DOG.30.31.32.33.A	C04	ccsbBroad304_10688
DOG.30.31.32.33.A	C05	ccsbBroad304_16175
DOG.30.31.32.33.A	C06	ccsbBroad304_00607
DOG.30.31.32.33.A	C07	ccsbBroad304_06811
DOG.30.31.32.33.A	C08	ccsbBroad304_14696
DOG.30.31.32.33.A	C09	ccsbBroad304_06188
DOG.30.31.32.33.A	C10	ccsbBroad304_06353
DOG.30.31.32.33.A	C11	ccsbBroad304_01289
DOG.30.31.32.33.A	C12	ccsbBroad304_01289
DOG.30.31.32.33.A	C13	ccsbBroad304_01684
DOG.30.31.32.33.A	C14	ccsbBroad304_06412
DOG.30.31.32.33.A	C15	ccsbBroad304_01607
DOG.30.31.32.33.A	C16	ccsbBroad304_01607
DOG.30.31.32.33.A	C17	ccsbBroad304_05439
DOG.30.31.32.33.A	C18	ccsbBroad304_01684
DOG.30.31.32.33.A	C19	ccsbBroad304_00607
DOG.30.31.32.33.A	C20	ccsbBroad304_00954
DOG.30.31.32.33.A	C21	ccsbBroad304_00129
DOG.30.31.32.33.A	C22	ccsbBroad304_06483
DOG.30.31.32.33.A	C23	ccsbBroad304_06365
DOG.30.31.32.33.A	C24	ccsbBroad304_06272
DOG.30.31.32.33.A	D01	ccsbBroad304_14720
DOG.30.31.32.33.A	D02	ccsbBroad304_01602
DOG.30.31.32.33.A	D03	ccsbBroad304_00526
DOG.30.31.32.33.A	D04	ccsbBroad304_00526
DOG.30.31.32.33.A	D05	ccsbBroad304_06085
DOG.30.31.32.33.A	D06	ccsbBroad304_14741
DOG.30.31.32.33.A	D07	ccsbBroad304_00142
DOG.30.31.32.33.A	D08	ccsbBroad304_00326
DOG.30.31.32.33.A	D09	ccsbBroad304_01396
DOG.30.31.32.33.A	D10	ccsbBroad304_01216
DOG.30.31.32.33.A	D11	ccsbBroad304_02218
DOG.30.31.32.33.A	D12	ccsbBroad304_02030
DOG.30.31.32.33.A	D13	ccsbBroad304_07557
DOG.30.31.32.33.A	D14	ccsbBroad304_14597
DOG.30.31.32.33.A	D15	ccsbBroad304_09091
DOG.30.31.32.33.A	D16	ccsbBroad304_03625
