plate_map_name	well_position	broad_sample
DXH.92.93.94.95.A	A01	BRDN0001480888
DXH.92.93.94.95.A	A02	BRDN0001483495
DXH.92.93.94.95.A	A03	BRDN0001147364
DXH.92.93.94.95.A	A04	BRDN0001490272
DXH.92.93.94.95.A	A05	BRDN0001480510
DXH.92.93.94.95.A	A06	BRDN0001487636
DXH.92.93.94.95.A	A07	BRDN0001484752
DXH.92.93.94.95.A	A08	BRDN0001485022
DXH.92.93.94.95.A	A09	BRDN0001488469
DXH.92.93.94.95.A	A10	BRDN0001479055
DXH.92.93.94.95.A	A11	BRDN0001488387
DXH.92.93.94.95.A	A12	BRDN0001487915
DXH.92.93.94.95.A	A13	BRDN0001147100
DXH.92.93.94.95.A	A14	BRDN0001477683
DXH.92.93.94.95.A	A15	BRDN0001488235
DXH.92.93.94.95.A	A16	BRDN0001483003
DXH.92.93.94.95.A	A17	BRDN0001489066
DXH.92.93.94.95.A	A18	BRDN0001487864
DXH.92.93.94.95.A	A19	BRDN0001480412
DXH.92.93.94.95.A	A20	BRDN0001148417
DXH.92.93.94.95.A	A21	BRDN0001489686
DXH.92.93.94.95.A	A22	BRDN0001481331
DXH.92.93.94.95.A	A23	BRDN0001481599
DXH.92.93.94.95.A	A24	BRDN0001487543
DXH.92.93.94.95.A	B01	BRDN0001487247
DXH.92.93.94.95.A	B02	BRDN0001490654
DXH.92.93.94.95.A	B03	BRDN0001147906
DXH.92.93.94.95.A	B04	BRDN0001484748
DXH.92.93.94.95.A	B05	BRDN0000987760
DXH.92.93.94.95.A	B06	BRDN0001485957
DXH.92.93.94.95.A	B07	BRDN0001482877
DXH.92.93.94.95.A	B08	BRDN0000735610
DXH.92.93.94.95.A	B09	BRDN0001487881
DXH.92.93.94.95.A	B10	BRDN0001489575
DXH.92.93.94.95.A	B11	BRDN0001144968
DXH.92.93.94.95.A	B12	BRDN0001488751
DXH.92.93.94.95.A	B13	BRDN0001485957
DXH.92.93.94.95.A	B14	BRDN0000579732
DXH.92.93.94.95.A	B15	BRDN0001493988
DXH.92.93.94.95.A	B16	BRDN0001483194
DXH.92.93.94.95.A	B17	BRDN0001484703
DXH.92.93.94.95.A	B18	BRDN0001483238
DXH.92.93.94.95.A	B19	BRDN0001485605
DXH.92.93.94.95.A	B20	BRDN0001479972
DXH.92.93.94.95.A	B21	BRDN0001480921
DXH.92.93.94.95.A	B22	BRDN0001061130
DXH.92.93.94.95.A	B23	BRDN0001066064
DXH.92.93.94.95.A	B24	BRDN0001485421
DXH.92.93.94.95.A	C01	BRDN0001147538
DXH.92.93.94.95.A	C02	BRDN0001487345
DXH.92.93.94.95.A	C03	BRDN0001488886
DXH.92.93.94.95.A	C04	BRDN0001479766
DXH.92.93.94.95.A	C05	BRDN0001057455
DXH.92.93.94.95.A	C06	BRDN0001484506
DXH.92.93.94.95.A	C07	BRDN0001479298
DXH.92.93.94.95.A	C08	BRDN0001146959
DXH.92.93.94.95.A	C09	BRDN0001480465
DXH.92.93.94.95.A	C10	BRDN0001487280
DXH.92.93.94.95.A	C11	BRDN0000579780
DXH.92.93.94.95.A	C12	BRDN0001148995
DXH.92.93.94.95.A	C13	BRDN0001054845
DXH.92.93.94.95.A	C14	BRDN0001482005
DXH.92.93.94.95.A	C15	BRDN0000580246
DXH.92.93.94.95.A	C16	BRDN0001147797
DXH.92.93.94.95.A	C17	BRDN0001480346
DXH.92.93.94.95.A	C18	BRDN0001480930
DXH.92.93.94.95.A	C19	BRDN0001489794
DXH.92.93.94.95.A	C20	BRDN0000734502
DXH.92.93.94.95.A	C21	BRDN0001483314
DXH.92.93.94.95.A	C22	BRDN0001480242
DXH.92.93.94.95.A	C23	BRDN0001487618
DXH.92.93.94.95.A	C24	BRDN0001065457
DXH.92.93.94.95.A	D01	BRDN0001485843
DXH.92.93.94.95.A	D02	BRDN0001483052
DXH.92.93.94.95.A	D03	BRDN0001489555
DXH.92.93.94.95.A	D04	BRDN0001482043
DXH.92.93.94.95.A	D05	BRDN0001485604
DXH.92.93.94.95.A	D06	BRDN0001485726
DXH.92.93.94.95.A	D07	BRDN0001065508
DXH.92.93.94.95.A	D08	BRDN0001484319
DXH.92.93.94.95.A	D09	BRDN0001480594
DXH.92.93.94.95.A	D10	BRDN0001486784
DXH.92.93.94.95.A	D11	BRDN0001477909
DXH.92.93.94.95.A	D12	BRDN0001144750
DXH.92.93.94.95.A	D13	BRDN0001065244
DXH.92.93.94.95.A	D14	BRDN0001480861
DXH.92.93.94.95.A	D15	BRDN0001146060
DXH.92.93.94.95.A	D16	BRDN0001477792
DXH.92.93.94.95.A	D17	BRDN0001058343
DXH.92.93.94.95.A	D18	BRDN0001484730
DXH.92.93.94.95.A	D19	BRDN0001488073
DXH.92.93.94.95.A	D20	BRDN0001481569
DXH.92.93.94.95.A	D21	BRDN0001054815
DXH.92.93.94.95.A	D22	BRDN0001480426
