Assay_Plate_Barcode,Plate_Map_Name
BR00116991A,C-7210-01-CMP-013
BR00116991B,C-7210-01-CMP-013
BR00116991C,C-7210-01-CMP-013
BR00116991D,C-7210-01-CMP-013
BR00116991E,C-7210-01-CMP-013
BR00116991F,C-7210-01-CMP-013
BR00116992A,C-7210-01-CMP-013
BR00116992B,C-7210-01-CMP-013
BR00116992C,C-7210-01-CMP-013
BR00116992D,C-7210-01-CMP-013
BR00116992E,C-7210-01-CMP-013
BR00116992F,C-7210-01-CMP-013
BR00116993A,C-7210-01-CMP-013
BR00116993B,C-7210-01-CMP-013
BR00116993C,C-7210-01-CMP-013
BR00116993D,C-7210-01-CMP-013
BR00116993E,C-7210-01-CMP-013
BR00116993F,C-7210-01-CMP-013
BR00116994A,C-7210-01-CMP-013
BR00116994B,C-7210-01-CMP-013
BR00116994C,C-7210-01-CMP-013
BR00116994D,C-7210-01-CMP-013
BR00116994E,C-7210-01-CMP-013
BR00116994F,C-7210-01-CMP-013
