Metadata_Plate,Metadata_Well,Metadata_Channel,filename,URL
BR00116996,A01,URL_OrigAGP,r01c01f01p01-ch2sk1fk1fl1.tiff,https://s3.amazonaws.com/jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_04_CPJUMP1/images/BR00116996__2020-11-09T15_32_10-Measurement3/Images/r01c01f01p01-ch2sk1fk1fl1.tiff
BR00116996,A02,URL_OrigAGP,r01c02f01p01-ch2sk1fk1fl1.tiff,https://s3.amazonaws.com/jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_04_CPJUMP1/images/BR00116996__2020-11-09T15_32_10-Measurement3/Images/r01c02f01p01-ch2sk1fk1fl1.tiff
BR00116996,A03,URL_OrigAGP,r01c03f01p01-ch2sk1fk1fl1.tiff,https://s3.amazonaws.com/jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_04_CPJUMP1/images/BR00116996__2020-11-09T15_32_10-Measurement3/Images/r01c03f01p01-ch2sk1fk1fl1.tiff
BR00116996,A04,URL_OrigAGP,r01c04f01p01-ch2sk1fk1fl1.tiff,https://s3.amazonaws.com/jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_04_CPJUMP1/images/BR00116996__2020-11-09T15_32_10-Measurement3/Images/r01c04f01p01-ch2sk1fk1fl1.tiff
BR00116996,A05,URL_OrigAGP,r01c05f01p01-ch2sk1fk1fl1.tiff,https://s3.amazonaws.com/jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_04_CPJUMP1/images/BR00116996__2020-11-09T15_32_10-Measurement3/Images/r01c05f01p01-ch2sk1fk1fl1.tiff
BR00116996,A06,URL_OrigAGP,r01c06f01p01-ch2sk1fk1fl1.tiff,https://s3.amazonaws.com/jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_04_CPJUMP1/images/BR00116996__2020-11-09T15_32_10-Measurement3/Images/r01c06f01p01-ch2sk1fk1fl1.tiff
BR00116996,A07,URL_OrigAGP,r01c07f01p01-ch2sk1fk1fl1.tiff,https://s3.amazonaws.com/jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_04_CPJUMP1/images/BR00116996__2020-11-09T15_32_10-Measurement3/Images/r01c07f01p01-ch2sk1fk1fl1.tiff
BR00116996,A08,URL_OrigAGP,r01c08f01p01-ch2sk1fk1fl1.tiff,https://s3.amazonaws.com/jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_04_CPJUMP1/images/BR00116996__2020-11-09T15_32_10-Measurement3/Images/r01c08f01p01-ch2sk1fk1fl1.tiff
BR00116996,A09,URL_OrigAGP,r01c09f01p01-ch2sk1fk1fl1.tiff,https://s3.amazonaws.com/jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_04_CPJUMP1/images/BR00116996__2020-11-09T15_32_10-Measurement3/Images/r01c09f01p01-ch2sk1fk1fl1.tiff
BR00116996,A10,URL_OrigAGP,r01c10f01p01-ch2sk1fk1fl1.tiff,https://s3.amazonaws.com/jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_04_CPJUMP1/images/BR00116996__2020-11-09T15_32_10-Measurement3/Images/r01c10f01p01-ch2sk1fk1fl1.tiff
BR00116996,A11,URL_OrigAGP,r01c11f01p01-ch2sk1fk1fl1.tiff,https://s3.amazonaws.com/jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_04_CPJUMP1/images/BR00116996__2020-11-09T15_32_10-Measurement3/Images/r01c11f01p01-ch2sk1fk1fl1.tiff
BR00116996,A12,URL_OrigAGP,r01c12f01p01-ch2sk1fk1fl1.tiff,https://s3.amazonaws.com/jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_04_CPJUMP1/images/BR00116996__2020-11-09T15_32_10-Measurement3/Images/r01c12f01p01-ch2sk1fk1fl1.tiff
BR00116996,A13,URL_OrigAGP,r01c13f01p01-ch2sk1fk1fl1.tiff,https://s3.amazonaws.com/jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_04_CPJUMP1/images/BR00116996__2020-11-09T15_32_10-Measurement3/Images/r01c13f01p01-ch2sk1fk1fl1.tiff
BR00116996,A14,URL_OrigAGP,r01c14f01p01-ch2sk1fk1fl1.tiff,https://s3.amazonaws.com/jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_04_CPJUMP1/images/BR00116996__2020-11-09T15_32_10-Measurement3/Images/r01c14f01p01-ch2sk1fk1fl1.tiff
BR00116996,A15,URL_OrigAGP,r01c15f01p01-ch2sk1fk1fl1.tiff,https://s3.amazonaws.com/jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_04_CPJUMP1/images/BR00116996__2020-11-09T15_32_10-Measurement3/Images/r01c15f01p01-ch2sk1fk1fl1.tiff
BR00116996,A16,URL_OrigAGP,r01c16f01p01-ch2sk1fk1fl1.tiff,https://s3.amazonaws.com/jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_04_CPJUMP1/images/BR00116996__2020-11-09T15_32_10-Measurement3/Images/r01c16f01p01-ch2sk1fk1fl1.tiff
