Metadata_Plate,Metadata_Well,Metadata_Site,Metadata_AbsPositionZ,Metadata_AbsTime,Metadata_BinningX,Metadata_BinningY,Metadata_ChannelID,Metadata_ChannelName,Metadata_Col,Metadata_ExposureTime,Metadata_FieldID,Metadata_ImageResolutionX,Metadata_ImageResolutionY,Metadata_ImageSizeX,Metadata_ImageSizeY,Metadata_MainEmissionWavelength,Metadata_MainExcitationWavelength,Metadata_MaxIntensity,Metadata_ObjectiveMagnification,Metadata_ObjectiveNA,Metadata_PlaneID,Metadata_PositionX,Metadata_PositionY,Metadata_PositionZ,Metadata_Row,Metadata_Batch,Metadata_plate_map_name,Metadata_broad_sample,Metadata_genes,Metadata_pert_type,Metadata_control_type,Metadata_Assay_Plate_Barcode,Metadata_Plate_Map_Name,Metadata_cell_line,Metadata_timepoint,Metadata_experiment_type,Metadata_experiment_condition,Metadata_replicate_id,Metadata_negcon_control_type,Metadata_target_sequence,Metadata_mg_per_ml,Metadata_mmoles_per_liter,Metadata_solvent,Metadata_target,Metadata_pert_iname,Metadata_pubchem_cid,Metadata_InChIKey,Metadata_gene,Metadata_negcon_or_other,Metadata_negcon_control_type_trimmed,Metadata_WellCode,Metadata_cachedir,Metadata_montagedir,Metadata_thumbnail_path
BR00116995,A10,1,0.134523496,2020-11-06T08:14:47Z,2,2,5,HOECHST 33342,10,0.01,1,5.979760809567617e-7,5.979760809567617e-7,1080,1080,456,405,65535,20,1,1,-3.22907e-4,3.22907e-4,-2e-6,1,2020_11_04_CPJUMP1,C-7210-01-CMP-013,BRD-K19975102-001-01-2,NA,trt,NA,BR00116995,C-7210-01-CMP-013,U2OS,24,Compound,Standard,1,NA,NA,2.6775,5,DMSO,NTRK1,GNF-5837,59397065,YYDUWLSETXNJJT-MTJSOVHGSA-N,NA,pert,NA,r01c10,image_cache,montage,visualize/2020_11_04_CPJUMP1/thumbnail_montage/BR00116995/r01c10_montage.png
BR00116995,A15,1,0.134457394,2020-11-06T08:37:06Z,2,2,5,HOECHST 33342,15,0.01,1,5.979760809567617e-7,5.979760809567617e-7,1080,1080,456,405,65535,20,1,1,-3.22907e-4,3.22907e-4,-2e-6,1,2020_11_04_CPJUMP1,C-7210-01-CMP-013,BRD-K47049295-300-03-1,NA,trt,NA,BR00116995,C-7210-01-CMP-013,U2OS,24,Compound,Standard,1,NA,NA,2.5325,5,DMSO,OPRL1,BAN-ORL-24,10296561,MAKMQGKJURAJEN-RUZDIDTESA-N,NA,pert,NA,r01c15,image_cache,montage,visualize/2020_11_04_CPJUMP1/thumbnail_montage/BR00116995/r01c15_montage.png
BR00116995,A16,1,0.134444907,2020-11-06T08:37:21Z,2,2,5,HOECHST 33342,16,0.01,1,5.979760809567617e-7,5.979760809567617e-7,1080,1080,456,405,65535,20,1,1,-3.22907e-4,3.22907e-4,-2e-6,1,2020_11_04_CPJUMP1,C-7210-01-CMP-013,BRD-K78122587-300-04-3,NA,trt,NA,BR00116995,C-7210-01-CMP-013,U2OS,24,Compound,Standard,1,NA,NA,2.8228,5,DMSO,CATSPER4,NNC-55-0396,9957280,VHHVPDKNKPNKHY-JDXGNMNLSA-N,NA,pert,NA,r01c16,image_cache,montage,visualize/2020_11_04_CPJUMP1/thumbnail_montage/BR00116995/r01c16_montage.png
BR00116995,A17,1,0.134430602,2020-11-06T08:44:44Z,2,2,5,HOECHST 33342,17,0.01,1,5.979760809567617e-7,5.979760809567617e-7,1080,1080,456,405,65535,20,1,1,-3.22907e-4,3.22907e-4,-2e-6,1,2020_11_04_CPJUMP1,C-7210-01-CMP-013,DMSO,NA,control,negcon,BR00116995,C-7210-01-CMP-013,U2OS,24,Compound,Standard,1,NA,NA,NA,NA,DMSO,NA,DMSO,NA,NA,NA,negcon,NA,r01c17,image_cache,montage,visualize/2020_11_04_CPJUMP1/thumbnail_montage/BR00116995/r01c17_montage.png
BR00116995,A18,1,0.134416997,2020-11-06T08:44:58Z,2,2,5,HOECHST 33342,18,0.01,1,5.979760809567617e-7,5.979760809567617e-7,1080,1080,456,405,65535,20,1,1,-3.22907e-4,3.22907e-4,-2e-6,1,2020_11_04_CPJUMP1,C-7210-01-CMP-013,BRD-K50199947-001-03-4,NA,trt,NA,BR00116995,C-7210-01-CMP-013,U2OS,24,Compound,Standard,1,NA,NA,2.8433,5,DMSO,LCK,WH-4-023,11844351,NBTNHSGBRGTFJS-UHFFFAOYSA-N,NA,pert,NA,r01c18,image_cache,montage,visualize/2020_11_04_CPJUMP1/thumbnail_montage/BR00116995/r01c18_montage.png
BR00116995,A19,1,0.134404302,2020-11-06T08:52:20Z,2,2,5,HOECHST 33342,19,0.01,1,5.979760809567617e-7,5.979760809567617e-7,1080,1080,456,405,65535,20,1,1,-3.22907e-4,3.22907e-4,-2e-6,1,2020_11_04_CPJUMP1,C-7210-01-CMP-013,BRD-K50720187-051-03-1,NA,trt,NA,BR00116995,C-7210-01-CMP-013,U2OS,24,Compound,Standard,1,NA,NA,2.102,5,DMSO,KCNQ2,flupirtine,53276,JUUFBMODXQKSTD-UHFFFAOYSA-N,NA,pert,NA,r01c19,image_cache,montage,visualize/2020_11_04_CPJUMP1/thumbnail_montage/BR00116995/r01c19_montage.png
BR00116995,A20,1,0.1343932,2020-11-06T08:52:34Z,2,2,5,HOECHST 33342,20,0.01,1,5.979760809567617e-7,5.979760809567617e-7,1080,1080,456,405,65535,20,1,1,-3.22907e-4,3.22907e-4,-2e-6,1,2020_11_04_CPJUMP1,C-7210-01-CMP-013,BRD-K91825936-001-03-9,NA,trt,NA,BR00116995,C-7210-01-CMP-013,U2OS,24,Compound,Standard,1,NA,NA,2.1745,5,DMSO,CCR1,ZK811752,512282,XQYASZNUFDVMFH-CQSZACIVSA-N,NA,pert,NA,r01c20,image_cache,montage,visualize/2020_11_04_CPJUMP1/thumbnail_montage/BR00116995/r01c20_montage.png
BR00116995,A21,1,0.134382501,2020-11-06T08:59:57Z,2,2,5,HOECHST 33342,21,0.01,1,5.979760809567617e-7,5.979760809567617e-7,1080,1080,456,405,65535,20,1,1,-3.22907e-4,3.22907e-4,-2e-6,1,2020_11_04_CPJUMP1,C-7210-01-CMP-013,BRD-K38775274-001-22-1,NA,trt,NA,BR00116995,C-7210-01-CMP-013,U2OS,24,Compound,Standard,1,NA,NA,1.9623,5,DMSO,ANXA1,dexamethasone,5743,UREBDLICKHMUKA-CXSFZGCWSA-N,NA,pert,NA,r01c21,image_cache,montage,visualize/2020_11_04_CPJUMP1/thumbnail_montage/BR00116995/r01c21_montage.png
BR00116995,A22,1,0.134370297,2020-11-06T09:00:11Z,2,2,5,HOECHST 33342,22,0.01,1,5.979760809567617e-7,5.979760809567617e-7,1080,1080,456,405,65535,20,1,1,-3.22907e-4,3.22907e-4,-2e-6,1,2020_11_04_CPJUMP1,C-7210-01-CMP-013,BRD-K47598052-001-14-1,NA,trt,NA,BR00116995,C-7210-01-CMP-013,U2OS,24,Compound,Standard,1,NA,NA,1.4068,5,DMSO,HCK,PP-1,1400,ZVPDNRVYHLRXLX-UHFFFAOYSA-N,NA,pert,NA,r01c22,image_cache,montage,visualize/2020_11_04_CPJUMP1/thumbnail_montage/BR00116995/r01c22_montage.png
BR00116995,A23,1,0.134353101,2020-11-06T09:07:37Z,2,2,5,HOECHST 33342,23,0.01,1,5.979760809567617e-7,5.979760809567617e-7,1080,1080,456,405,65535,20,1,1,-3.22907e-4,3.22907e-4,-2e-6,1,2020_11_04_CPJUMP1,C-7210-01-CMP-013,BRD-K61845293-300-01-9,NA,trt,NA,BR00116995,C-7210-01-CMP-013,U2OS,24,Compound,Standard,1,NA,NA,3.1275,5,DMSO,DDR2,DDR1-IN-1,72836888,AOZPVMOOEJAZGK-UHFFFAOYSA-N,NA,pert,NA,r01c23,image_cache,montage,visualize/2020_11_04_CPJUMP1/thumbnail_montage/BR00116995/r01c23_montage.png
