Metadata_Plate,Metadata_Well,Metadata_Batch,Metadata_cachedir,Metadata_montagedir
BR00117010,r01c01,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r01c02,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r01c03,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r01c04,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r01c05,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r01c06,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r01c07,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r01c08,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r01c09,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r01c10,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r01c11,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r01c12,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r01c13,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r01c14,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r01c15,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r01c16,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r01c17,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r01c18,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r01c19,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r01c20,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r01c21,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r01c22,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r01c23,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r01c24,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r02c01,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r02c02,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r02c03,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r02c04,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r02c05,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r02c06,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r02c07,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r02c08,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r02c09,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r02c10,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r02c11,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r02c12,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r02c13,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r02c14,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r02c15,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r02c16,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r02c17,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r02c18,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r02c19,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r02c20,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r02c21,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r02c22,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r02c23,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r02c24,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r03c01,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r03c02,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r03c03,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r03c04,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r03c05,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r03c06,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r03c07,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r03c08,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r03c09,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r03c10,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r03c11,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r03c12,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r03c13,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r03c14,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r03c15,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r03c16,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r03c17,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r03c18,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r03c19,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r03c20,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r03c21,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r03c22,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r03c23,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r03c24,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r04c01,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r04c02,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r04c03,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r04c04,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r04c05,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r04c06,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r04c07,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r04c08,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r04c09,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r04c10,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r04c11,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r04c12,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r04c13,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r04c14,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r04c15,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r04c16,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r04c17,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r04c18,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r04c19,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r04c20,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r04c21,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r04c22,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r04c23,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r04c24,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r05c01,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r05c02,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r05c03,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r05c04,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r05c05,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r05c06,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r05c07,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r05c08,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r05c09,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r05c10,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r05c11,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r05c12,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r05c13,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r05c14,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r05c15,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r05c16,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r05c17,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r05c18,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r05c19,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r05c20,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r05c21,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r05c22,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r05c23,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r05c24,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r06c01,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r06c02,2020_11_04_CPJUMP1,image_cache,montage
BR00117010,r06c03,2020_11_04_CPJUMP1,image_cache,montage
