Metadata_Batch,Metadata_Plate,Metadata_Well,Metadata_Site,Metadata_FieldID,Metadata_Row,Metadata_Col,Metadata_plate_map_name,Metadata_broad_sample,Metadata_genes,Metadata_pert_type,Metadata_control_type,Metadata_Assay_Plate_Barcode,Metadata_Plate_Map_Name,Metadata_cell_line,Metadata_timepoint,Metadata_experiment_type,Metadata_experiment_condition,Metadata_replicate_id,Metadata_negcon_control_type,Metadata_target_sequence,Metadata_mg_per_ml,Metadata_mmoles_per_liter,Metadata_solvent,Metadata_target,Metadata_pert_iname,Metadata_pubchem_cid,Metadata_InChIKey,Metadata_gene,Metadata_negcon_or_other,Metadata_negcon_control_type_trimmed,FileName_OrigRNA,FileName_OrigER,FileName_OrigAGP,FileName_OrigMito,FileName_OrigBrightfield,FileName_OrigHighZBF,FileName_OrigLowZBF,FileName_OrigDNA
2020_11_04_CPJUMP1,BR00117022,A01,1,1,1,1,DOG.30.31.32.33.A,ccsbBroad304_00900,KCNN1,trt,NA,BR00117022,DOG.30.31.32.33.A,U2OS,48,ORF,Standard,1,NA,NA,NA,NA,NA,KCNN1,ccsbBroad304_00900,NA,NA,KCNN1,pert,NA,r01c01f01p01-ch3sk1fk1fl1.tiff,r01c01f01p01-ch4sk1fk1fl1.tiff,r01c01f01p01-ch2sk1fk1fl1.tiff,r01c01f01p01-ch1sk1fk1fl1.tiff,r01c01f01p01-ch8sk1fk1fl1.tiff,r01c01f01p01-ch6sk1fk1fl1.tiff,r01c01f01p01-ch7sk1fk1fl1.tiff,r01c01f01p01-ch5sk1fk1fl1.tiff
2020_11_04_CPJUMP1,BR00117022,A02,1,1,1,2,DOG.30.31.32.33.A,ccsbBroad304_07795,SLCO2B1,trt,NA,BR00117022,DOG.30.31.32.33.A,U2OS,48,ORF,Standard,1,NA,NA,NA,NA,NA,SLCO2B1,ccsbBroad304_07795,NA,NA,SLCO2B1,pert,NA,r01c02f01p01-ch3sk1fk1fl1.tiff,r01c02f01p01-ch4sk1fk1fl1.tiff,r01c02f01p01-ch2sk1fk1fl1.tiff,r01c02f01p01-ch1sk1fk1fl1.tiff,r01c02f01p01-ch8sk1fk1fl1.tiff,r01c02f01p01-ch6sk1fk1fl1.tiff,r01c02f01p01-ch7sk1fk1fl1.tiff,r01c02f01p01-ch5sk1fk1fl1.tiff
2020_11_04_CPJUMP1,BR00117022,A03,1,1,1,3,DOG.30.31.32.33.A,ccsbBroad304_02826,SLC7A11,trt,NA,BR00117022,DOG.30.31.32.33.A,U2OS,48,ORF,Standard,1,NA,NA,NA,NA,NA,SLC7A11,ccsbBroad304_02826,NA,NA,SLC7A11,pert,NA,r01c03f01p01-ch3sk1fk1fl1.tiff,r01c03f01p01-ch4sk1fk1fl1.tiff,r01c03f01p01-ch2sk1fk1fl1.tiff,r01c03f01p01-ch1sk1fk1fl1.tiff,r01c03f01p01-ch8sk1fk1fl1.tiff,r01c03f01p01-ch6sk1fk1fl1.tiff,r01c03f01p01-ch7sk1fk1fl1.tiff,r01c03f01p01-ch5sk1fk1fl1.tiff
2020_11_04_CPJUMP1,BR00117022,A04,1,1,1,4,DOG.30.31.32.33.A,ccsbBroad304_01492,SCNN1G,trt,NA,BR00117022,DOG.30.31.32.33.A,U2OS,48,ORF,Standard,1,NA,NA,NA,NA,NA,SCNN1G,ccsbBroad304_01492,NA,NA,SCNN1G,pert,NA,r01c04f01p01-ch3sk1fk1fl1.tiff,r01c04f01p01-ch4sk1fk1fl1.tiff,r01c04f01p01-ch2sk1fk1fl1.tiff,r01c04f01p01-ch1sk1fk1fl1.tiff,r01c04f01p01-ch8sk1fk1fl1.tiff,r01c04f01p01-ch6sk1fk1fl1.tiff,r01c04f01p01-ch7sk1fk1fl1.tiff,r01c04f01p01-ch5sk1fk1fl1.tiff
2020_11_04_CPJUMP1,BR00117022,A05,1,1,1,5,DOG.30.31.32.33.A,ccsbBroad304_00691,GRIN2A,trt,NA,BR00117022,DOG.30.31.32.33.A,U2OS,48,ORF,Standard,1,NA,NA,NA,NA,NA,GRIN2A,ccsbBroad304_00691,NA,NA,GRIN2A,pert,NA,r01c05f01p01-ch3sk1fk1fl1.tiff,r01c05f01p01-ch4sk1fk1fl1.tiff,r01c05f01p01-ch2sk1fk1fl1.tiff,r01c05f01p01-ch1sk1fk1fl1.tiff,r01c05f01p01-ch8sk1fk1fl1.tiff,r01c05f01p01-ch6sk1fk1fl1.tiff,r01c05f01p01-ch7sk1fk1fl1.tiff,r01c05f01p01-ch5sk1fk1fl1.tiff
2020_11_04_CPJUMP1,BR00117022,A06,1,1,1,6,DOG.30.31.32.33.A,ccsbBroad304_00902,KCNN4,trt,NA,BR00117022,DOG.30.31.32.33.A,U2OS,48,ORF,Standard,1,NA,NA,NA,NA,NA,KCNN4,ccsbBroad304_00902,NA,NA,KCNN4,pert,NA,r01c06f01p01-ch3sk1fk1fl1.tiff,r01c06f01p01-ch4sk1fk1fl1.tiff,r01c06f01p01-ch2sk1fk1fl1.tiff,r01c06f01p01-ch1sk1fk1fl1.tiff,r01c06f01p01-ch8sk1fk1fl1.tiff,r01c06f01p01-ch6sk1fk1fl1.tiff,r01c06f01p01-ch7sk1fk1fl1.tiff,r01c06f01p01-ch5sk1fk1fl1.tiff
2020_11_04_CPJUMP1,BR00117022,A07,1,1,1,7,DOG.30.31.32.33.A,ccsbBroad304_02705,SIRT2,trt,NA,BR00117022,DOG.30.31.32.33.A,U2OS,48,ORF,Standard,1,NA,NA,NA,NA,NA,SIRT2,ccsbBroad304_02705,NA,NA,SIRT2,pert,NA,r01c07f01p01-ch3sk1fk1fl1.tiff,r01c07f01p01-ch4sk1fk1fl1.tiff,r01c07f01p01-ch2sk1fk1fl1.tiff,r01c07f01p01-ch1sk1fk1fl1.tiff,r01c07f01p01-ch8sk1fk1fl1.tiff,r01c07f01p01-ch6sk1fk1fl1.tiff,r01c07f01p01-ch7sk1fk1fl1.tiff,r01c07f01p01-ch5sk1fk1fl1.tiff
2020_11_04_CPJUMP1,BR00117022,A08,1,1,1,8,DOG.30.31.32.33.A,ccsbBroad304_01122,OPRM1,trt,NA,BR00117022,DOG.30.31.32.33.A,U2OS,48,ORF,Standard,1,NA,NA,NA,NA,NA,OPRM1,ccsbBroad304_01122,NA,NA,OPRM1,pert,NA,r01c08f01p01-ch3sk1fk1fl1.tiff,r01c08f01p01-ch4sk1fk1fl1.tiff,r01c08f01p01-ch2sk1fk1fl1.tiff,r01c08f01p01-ch1sk1fk1fl1.tiff,r01c08f01p01-ch8sk1fk1fl1.tiff,r01c08f01p01-ch6sk1fk1fl1.tiff,r01c08f01p01-ch7sk1fk1fl1.tiff,r01c08f01p01-ch5sk1fk1fl1.tiff
2020_11_04_CPJUMP1,BR00117022,A09,1,1,1,9,DOG.30.31.32.33.A,ccsbBroad304_01122,OPRM1,trt,NA,BR00117022,DOG.30.31.32.33.A,U2OS,48,ORF,Standard,1,NA,NA,NA,NA,NA,OPRM1,ccsbBroad304_01122,NA,NA,OPRM1,pert,NA,r01c09f01p01-ch3sk1fk1fl1.tiff,r01c09f01p01-ch4sk1fk1fl1.tiff,r01c09f01p01-ch2sk1fk1fl1.tiff,r01c09f01p01-ch1sk1fk1fl1.tiff,r01c09f01p01-ch8sk1fk1fl1.tiff,r01c09f01p01-ch6sk1fk1fl1.tiff,r01c09f01p01-ch7sk1fk1fl1.tiff,r01c09f01p01-ch5sk1fk1fl1.tiff
2020_11_04_CPJUMP1,BR00117022,A10,1,1,1,10,DOG.30.31.32.33.A,ccsbBroad304_00305,CHRM3,trt,NA,BR00117022,DOG.30.31.32.33.A,U2OS,48,ORF,Standard,1,NA,NA,NA,NA,NA,CHRM3,ccsbBroad304_00305,NA,NA,CHRM3,pert,NA,r01c10f01p01-ch3sk1fk1fl1.tiff,r01c10f01p01-ch4sk1fk1fl1.tiff,r01c10f01p01-ch2sk1fk1fl1.tiff,r01c10f01p01-ch1sk1fk1fl1.tiff,r01c10f01p01-ch8sk1fk1fl1.tiff,r01c10f01p01-ch6sk1fk1fl1.tiff,r01c10f01p01-ch7sk1fk1fl1.tiff,r01c10f01p01-ch5sk1fk1fl1.tiff
